Treatment,ID,Internode,Length,Timepoint
BL,21,hyp,4,0
BL,21,ep,2.5,0
BL,21,int1,2.5,0
BL,21,int2,2.6,0
BL,21,int3,1.3,0
BL,21,int4,0.8,0
BL,21,int5,0.4,0
BZ,22,hyp,3.5,0
BZ,22,ep,2,0
BZ,22,int1,2,0
BZ,22,int2,2.3,0
BZ,22,int3,1.5,0
BZ,22,int4,1,0
BZ,22,int5,0.4,0
ET,23,hyp,2.2,0
ET,23,ep,1.6,0
ET,23,int1,1.5,0
ET,23,int2,2,0
ET,23,int3,2,0
ET,23,int4,0.8,0
ET,23,int5,0.3,0
BL,24,hyp,2.5,0
BL,24,ep,2,0
BL,24,int1,2.3,0
BL,24,int2,2.4,0
BL,24,int3,1.5,0
BL,24,int4,0.6,0
BL,24,int5,0.5,0
BZ,25,hyp,2.8,0
BZ,25,ep,2,0
BZ,25,int1,2.3,0
BZ,25,int2,1.5,0
BZ,25,int3,1.6,0
BZ,25,int4,0.8,0
BZ,25,int5,0.4,0
ET,26,hyp,2,0
ET,26,ep,1.3,0
ET,26,int1,1.8,0
ET,26,int2,2.3,0
ET,26,int3,2.5,0
ET,26,int4,1,0
ET,26,int5,0.5,0
BL,27,hyp,3.2,0
BL,27,ep,2,0
BL,27,int1,2.1,0
BL,27,int2,2.3,0
BL,27,int3,1.5,0
BL,27,int4,0.7,0
BL,27,int5,0.4,0
BL,28,hyp,3.2,0
BL,28,ep,2,0
BL,28,int1,2,0
BL,28,int2,2.5,0
BL,28,int3,2.5,0
BL,28,int4,1,0
BL,28,int5,0.5,0
ET,32,hyp,3.5,0
ET,32,ep,2,0
ET,32,int1,2,0
ET,32,int2,2,0
ET,32,int3,1.5,0
ET,32,int4,0.5,0
ET,32,int5,0.3,0
BL,33,hyp,3.5,0
BL,33,ep,2.2,0
BL,33,int1,2.5,0
BL,33,int2,2.6,0
BL,33,int3,2,0
BL,33,int4,1,0
BL,33,int5,0.5,0
BZ,34,hyp,3.6,0
BZ,34,ep,2.8,0
BZ,34,int1,3,0
BZ,34,int2,2.8,0
BZ,34,int3,1.5,0
BZ,34,int4,0.5,0
BZ,34,int5,0.5,0
ET,35,hyp,2.5,0
ET,35,ep,2.6,0
ET,35,int1,2.5,0
ET,35,int2,2.5,0
ET,35,int3,2.4,0
ET,35,int4,1.3,0
ET,35,int5,0.6,0
BL,36,hyp,2,0
BL,36,ep,2.4,0
BL,36,int1,2.8,0
BL,36,int2,2.6,0
BL,36,int3,1.8,0
BL,36,int4,1,0
BL,36,int5,0.7,0
BZ,37,hyp,3.2,0
BZ,37,ep,1.5,0
BZ,37,int1,1.8,0
BZ,37,int2,1.5,0
BZ,37,int3,1.6,0
BZ,37,int4,0.9,0
BZ,37,int5,0.3,0
ET,38,hyp,2.7,0
ET,38,ep,2,0
ET,38,int1,2,0
ET,38,int2,2.5,0
ET,38,int3,2,0
ET,38,int4,0.7,0
ET,38,int5,0.3,0
BL,39,hyp,3.5,0
BL,39,ep,1.8,0
BL,39,int1,1.5,0
BL,39,int2,2.2,0
BL,39,int3,2.3,0
BL,39,int4,1.2,0
BL,39,int5,0.5,0
BZ,40,hyp,2.2,0
BZ,40,ep,1.5,0
BZ,40,int1,1.8,0
BZ,40,int2,2,0
BZ,40,int3,1.7,0
BZ,40,int4,0.5,0
BZ,40,int5,0.5,0
ET,41,hyp,2.5,0
ET,41,ep,2,0
ET,41,int1,2,0
ET,41,int2,2.3,0
ET,41,int3,2.3,0
ET,41,int4,1,0
ET,41,int5,0.3,0
BL,42,hyp,4.5,0
BL,42,ep,2,0
BL,42,int1,1.8,0
BL,42,int2,2.8,0
BL,42,int3,1.5,0
BL,42,int4,1,0
BL,42,int5,0.4,0
BZ,43,hyp,4,0
BZ,43,ep,2,0
BZ,43,int1,2,0
BZ,43,int2,2.3,0
BZ,43,int3,2,0
BZ,43,int4,1,0
BZ,43,int5,0.5,0
ET,44,hyp,3.5,0
ET,44,ep,2,0
ET,44,int1,1.5,0
ET,44,int2,2.5,0
ET,44,int3,2,0
ET,44,int4,0.8,0
ET,44,int5,0.3,0
BL,45,hyp,3,0
BL,45,ep,2.7,0
BL,45,int1,1.5,0
BL,45,int2,2,0
BL,45,int3,2.5,0
BL,45,int4,1,0
BL,45,int5,0.4,0
BZ,46,hyp,6,0
BZ,46,ep,2.7,0
BZ,46,int1,2.5,0
BZ,46,int2,2.3,0
BZ,46,int3,2.1,0
BZ,46,int4,0.8,0
BZ,46,int5,0.3,0
ET,47,hyp,2.5,0
ET,47,ep,1.7,0
ET,47,int1,2,0
ET,47,int2,1.7,0
ET,47,int3,1.5,0
ET,47,int4,0.5,0
ET,47,int5,0.3,0
BL,48,hyp,3,0
BL,48,ep,1.3,0
BL,48,int1,2.2,0
BL,48,int2,2.7,0
BL,48,int3,2.5,0
BL,48,int4,1.3,0
BL,48,int5,0.7,0
BZ,49,hyp,3,0
BZ,49,ep,2,0
BZ,49,int1,2.3,0
BZ,49,int2,1.2,0
BZ,49,int3,1.5,0
BZ,49,int4,0.7,0
BZ,49,int5,0.5,0
ET,50,hyp,4,0
ET,50,ep,3,0
ET,50,int1,2.5,0
ET,50,int2,2,0
ET,50,int3,1.5,0
ET,50,int4,0.7,0
ET,50,int5,0.4,0
BL,51,hyp,4,0
BL,51,ep,2,0
BL,51,int1,2.3,0
BL,51,int2,1.7,0
BL,51,int3,1.6,0
BL,51,int4,1,0
BL,51,int5,0.4,0
BL,52,hyp,2.7,0
BL,52,ep,2,0
BL,52,int1,2,0
BL,52,int2,2.1,0
BL,52,int3,2,0
BL,52,int4,1,0
BL,52,int5,0.6,0
BL,53,hyp,3.2,0
BL,53,ep,1.8,0
BL,53,int1,1.7,0
BL,53,int2,2,0
BL,53,int3,1.2,0
BL,53,int4,0.5,0
BL,53,int5,0.3,0
BZ,54,hyp,3,0
BZ,54,ep,2.2,0
BZ,54,int1,1.5,0
BZ,54,int2,1.5,0
BZ,54,int3,1.3,0
BZ,54,int4,1,0
BZ,54,int5,0.5,0
BZ,55,hyp,3.3,0
BZ,55,ep,2,0
BZ,55,int1,1.5,0
BZ,55,int2,1.3,0
BZ,55,int3,2,0
BZ,55,int4,1,0
BZ,55,int5,0.5,0
BZ,56,hyp,4,0
BZ,56,ep,2.5,0
BZ,56,int1,2.6,0
BZ,56,int2,1.5,0
BZ,56,int3,1.2,0
BZ,56,int4,1,0
BZ,56,int5,0.5,0
ET,57,hyp,3.5,0
ET,57,ep,2,0
ET,57,int1,2,0
ET,57,int2,2,0
ET,57,int3,2,0
ET,57,int4,1,0
ET,57,int5,0.5,0
ET,58,hyp,2,0
ET,58,ep,2.3,0
ET,58,int1,2,0
ET,58,int2,2,0
ET,58,int3,2.5,0
ET,58,int4,1,0
ET,58,int5,0.5,0
BL,21,hyp,4,1
BL,21,ep,2.5,1
BL,21,int1,2.6,1
BL,21,int2,2.7,1
BL,21,int3,2.5,1
BL,21,int4,1.5,1
BL,21,int5,0.7,1
BZ,22,hyp,4,1
BZ,22,ep,2,1
BZ,22,int1,2,1
BZ,22,int2,2.8,1
BZ,22,int3,3,1
BZ,22,int4,1.2,1
BZ,22,int5,1.2,1
ET,23,hyp,2.5,1
ET,23,ep,1.6,1
ET,23,int1,2,1
ET,23,int2,2.1,1
ET,23,int3,2.5,1
ET,23,int4,1,1
ET,23,int5,0.6,1
BL,24,hyp,4,1
BL,24,ep,2,1
BL,24,int1,2.5,1
BL,24,int2,2.5,1
BL,24,int3,2.5,1
BL,24,int4,1.6,1
BL,24,int5,0.7,1
BZ,25,hyp,3,1
BZ,25,ep,2,1
BZ,25,int1,2.5,1
BZ,25,int2,2,1
BZ,25,int3,2.5,1
BZ,25,int4,1.6,1
BZ,25,int5,0.6,1
ET,26,hyp,2.5,1
ET,26,ep,1.5,1
ET,26,int1,2,1
ET,26,int2,2,1
ET,26,int3,2.5,1
ET,26,int4,1.4,1
ET,26,int5,1,1
BL,27,hyp,3.5,1
BL,27,ep,2,1
BL,27,int1,2.1,1
BL,27,int2,2.2,1
BL,27,int3,2.5,1
BL,27,int4,1.5,1
BL,27,int5,0.4,1
BL,28,hyp,3.5,1
BL,28,ep,2,1
BL,28,int1,2,1
BL,28,int2,2.7,1
BL,28,int3,2.7,1
BL,28,int4,1.3,1
BL,28,int5,0.5,1
ET,32,hyp,3.7,1
ET,32,ep,2.2,1
ET,32,int1,2.4,1
ET,32,int2,2.5,1
ET,32,int3,2.5,1
ET,32,int4,1,1
ET,32,int5,0.7,1
BL,33,hyp,3,1
BL,33,ep,2.1,1
BL,33,int1,2.4,1
BL,33,int2,2.5,1
BL,33,int3,3.6,1
BL,33,int4,2,1
BL,33,int5,1.3,1
BZ,34,hyp,3,1
BZ,34,ep,2.7,1
BZ,34,int1,3.2,1
BZ,34,int2,2.5,1
BZ,34,int3,2,1
BZ,34,int4,1,1
BZ,34,int5,0.5,1
ET,35,hyp,2.5,1
ET,35,ep,2.6,1
ET,35,int1,2.6,1
ET,35,int2,2.6,1
ET,35,int3,3.5,1
ET,35,int4,1.7,1
ET,35,int5,1.6,1
BL,36,hyp,2,1
BL,36,ep,2.5,1
BL,36,int1,3,1
BL,36,int2,2.7,1
BL,36,int3,3,1
BL,36,int4,2.3,1
BL,36,int5,1.6,1
BZ,37,hyp,3.2,1
BZ,37,ep,2,1
BZ,37,int1,2.2,1
BZ,37,int2,2,1
BZ,37,int3,2.3,1
BZ,37,int4,1,1
BZ,37,int5,0.7,1
ET,38,hyp,3.5,1
ET,38,ep,2.3,1
ET,38,int1,2.3,1
ET,38,int2,2.7,1
ET,38,int3,2.5,1
ET,38,int4,1.5,1
ET,38,int5,0.5,1
BL,39,hyp,3.5,1
BL,39,ep,2.3,1
BL,39,int1,1.7,1
BL,39,int2,2.4,1
BL,39,int3,2.5,1
BL,39,int4,2.2,1
BL,39,int5,0.4,1
BZ,40,hyp,2.5,1
BZ,40,ep,2.1,1
BZ,40,int1,2,1
BZ,40,int2,2.4,1
BZ,40,int3,1.8,1
BZ,40,int4,1,1
BZ,40,int5,0.7,1
ET,41,hyp,2.5,1
ET,41,ep,2,1
ET,41,int1,2.3,1
ET,41,int2,2.3,1
ET,41,int3,2.5,1
ET,41,int4,1.5,1
ET,41,int5,0.5,1
BL,42,hyp,4.7,1
BL,42,ep,2.1,1
BL,42,int1,1.9,1
BL,42,int2,3,1
BL,42,int3,1.6,1
BL,42,int4,2,1
BL,42,int5,0.7,1
BZ,43,hyp,4,1
BZ,43,ep,2,1
BZ,43,int1,2,1
BZ,43,int2,2.5,1
BZ,43,int3,2,1
BZ,43,int4,1.3,1
BZ,43,int5,0.7,1
ET,44,hyp,3.5,1
ET,44,ep,2.3,1
ET,44,int1,1.7,1
ET,44,int2,2.7,1
ET,44,int3,2.2,1
ET,44,int4,2.3,1
ET,44,int5,0.3,1
BL,45,hyp,3.1,1
BL,45,ep,2.7,1
BL,45,int1,1.5,1
BL,45,int2,2.1,1
BL,45,int3,2.6,1
BL,45,int4,2,1
BL,45,int5,0.4,1
BZ,46,hyp,6,1
BZ,46,ep,2.8,1
BZ,46,int1,2.5,1
BZ,46,int2,2.5,1
BZ,46,int3,2.3,1
BZ,46,int4,1,1
BZ,46,int5,0.7,1
ET,47,hyp,2.5,1
ET,47,ep,2,1
ET,47,int1,2.3,1
ET,47,int2,1.9,1
ET,47,int3,2,1
ET,47,int4,1.2,1
ET,47,int5,1,1
BL,48,hyp,3,1
BL,48,ep,2.4,1
BL,48,int1,2.2,1
BL,48,int2,2.9,1
BL,48,int3,2.7,1
BL,48,int4,1.8,1
BL,48,int5,1.2,1
BZ,49,hyp,3.3,1
BZ,49,ep,2.5,1
BZ,49,int1,3,1
BZ,49,int2,1.4,1
BZ,49,int3,2,1
BZ,49,int4,1.1,1
BZ,49,int5,0.9,1
ET,50,hyp,4,1
ET,50,ep,2.2,1
ET,50,int1,2.7,1
ET,50,int2,2.1,1
ET,50,int3,2.2,1
ET,50,int4,0.9,1
ET,50,int5,0.4,1
BL,51,hyp,4.2,1
BL,51,ep,2.3,1
BL,51,int1,2.5,1
BL,51,int2,1.9,1
BL,51,int3,1.7,1
BL,51,int4,1.7,1
BL,51,int5,0.7,1
BL,52,hyp,2.9,1
BL,52,ep,2.4,1
BL,52,int1,2.2,1
BL,52,int2,2.2,1
BL,52,int3,2,1
BL,52,int4,1.4,1
BL,52,int5,0.9,1
BL,53,hyp,3.2,1
BL,53,ep,2.3,1
BL,53,int1,2,1
BL,53,int2,2.2,1
BL,53,int3,1.3,1
BL,53,int4,0.8,1
BL,53,int5,0.5,1
ET,36,hyp,2.8,2
ET,36,ep,2.3,2
ET,36,int1,2.4,2
ET,36,int2,2.8,2
ET,36,int3,3.5,2
ET,36,int4,2,2
ET,36,int5,4.5,2
ET,36,int6,5.5,2
ET,36,int7,4.5,2
ET,36,int8,6,2
ET,36,int9,4.5,2
ET,36,int10,1,2
BZ,38,hyp,4,2
BZ,38,ep,2.5,2
BZ,38,int1,3.8,2
BZ,38,int2,3.1,2
BZ,38,int3,3.5,2
BZ,38,int4,2.8,2
BZ,38,int5,4,2
BZ,38,int6,4.5,2
BZ,38,int7,4,2
BZ,38,int8,4,2
BZ,38,int9,3.5,2
BZ,38,int10,0.6,2
ET,39,hyp,3,2
ET,39,ep,2.5,2
ET,39,int1,2.8,2
ET,39,int2,2.5,2
ET,39,int3,3.5,2
ET,39,int4,2,2
ET,39,int5,4.5,2
ET,39,int6,5.5,2
ET,39,int7,4.5,2
ET,39,int8,3.1,2
ET,39,int9,2,2
ET,39,int10,0.5,2
BZ,41,hyp,2.8,2
BZ,41,ep,1.2,2
BZ,41,int1,2.5,2
BZ,41,int2,2.5,2
BZ,41,int3,2,2
BZ,41,int4,1.5,2
BZ,41,int5,2,2
BZ,41,int6,3,2
BZ,41,int7,4.5,2
BZ,41,int8,2,2
BZ,41,int9,0.1,2
BZ,41,int10,NA,2
ET,42,hyp,3,2
ET,42,ep,2,2
ET,42,int1,3,2
ET,42,int2,3.2,2
ET,42,int3,4.5,2
ET,42,int4,2.5,2
ET,42,int5,7.6,2
ET,42,int6,6.5,2
ET,42,int7,5.5,2
ET,42,int8,4.5,2
ET,42,int9,3,2
ET,42,int10,1,2
BZ,44,hyp,1.8,2
BZ,44,ep,2.5,2
BZ,44,int1,2,2
BZ,44,int2,1.6,2
BZ,44,int3,3.5,2
BZ,44,int4,2.5,2
BZ,44,int5,3.5,2
BZ,44,int6,5.5,2
BZ,44,int7,6,2
BZ,44,int8,5,2
BZ,44,int9,5.5,2
BZ,44,int10,3,2
ET,45,hyp,2,2
ET,45,ep,1,2
ET,45,int1,2.5,2
ET,45,int2,2.9,2
ET,45,int3,2.7,2
ET,45,int4,3.7,2
ET,45,int5,3,2
ET,45,int6,6,2
ET,45,int7,5,2
ET,45,int8,3.5,2
ET,45,int9,3.5,2
ET,45,int10,3,2
BL,49,hyp,3.7,2
BL,49,ep,2.2,2
BL,49,int1,3.3,2
BL,49,int2,3.5,2
BL,49,int3,5,2
BL,49,int4,7,2
BL,49,int5,7,2
BL,49,int6,4.7,2
BL,49,int7,3,2
BL,49,int8,3,2
BL,49,int9,1.5,2
BL,49,int10,0.4,2
BL,61,hyp,5.5,2
BL,61,ep,2.5,2
BL,61,int1,2,2
BL,61,int2,2,2
BL,61,int3,3.5,2
BL,61,int4,4.5,2
BL,61,int5,5.7,2
BL,61,int6,5,2
BL,61,int7,5.5,2
BL,61,int8,5.7,2
BL,61,int9,3.5,2
BL,61,int10,0.6,2
BZ,62,hyp,4,2
BZ,62,ep,2.5,2
BZ,62,int1,1.8,2
BZ,62,int2,4,2
BZ,62,int3,2,2
BZ,62,int4,2,2
BZ,62,int5,2,2
BZ,62,int6,1.5,2
BZ,62,int7,1,2
BZ,62,int8,0.5,2
BZ,62,int9,NA,2
BZ,62,int10,NA,2
ET,63,hyp,3.8,2
ET,63,ep,2.5,2
ET,63,int1,2.5,2
ET,63,int2,2,2
ET,63,int3,2.3,2
ET,63,int4,1.5,2
ET,63,int5,2,2
ET,63,int6,2.8,2
ET,63,int7,4,2
ET,63,int8,4.5,2
ET,63,int9,2.7,2
ET,63,int10,0.5,2
BL,64,hyp,1.5,2
BL,64,ep,2.5,2
BL,64,int1,2.3,2
BL,64,int2,2,2
BL,64,int3,3.5,2
BL,64,int4,5.6,2
BL,64,int5,5.9,2
BL,64,int6,4.1,2
BL,64,int7,5.6,2
BL,64,int8,5.3,2
BL,64,int9,2.7,2
BL,64,int10,0.5,2
BZ,65,hyp,3,2
BZ,65,ep,1.5,2
BZ,65,int1,1.7,2
BZ,65,int2,2,2
BZ,65,int3,3.4,2
BZ,65,int4,2.2,2
BZ,65,int5,3.2,2
BZ,65,int6,6.3,2
BZ,65,int7,8,2
BZ,65,int8,7.2,2
BZ,65,int9,4,2
BZ,65,int10,1.5,2
ET,66,hyp,3,2
ET,66,ep,2.5,2
ET,66,int1,2.5,2
ET,66,int2,2,2
ET,66,int3,3.7,2
ET,66,int4,6.6,2
ET,66,int5,2.2,2
ET,66,int6,7.6,2
ET,66,int7,5.8,2
ET,66,int8,3.5,2
ET,66,int9,2,2
ET,66,int10,1.3,2
BL,67,hyp,3,2
BL,67,ep,2.5,2
BL,67,int1,2.5,2
BL,67,int2,2.5,2
BL,67,int3,3.5,2
BL,67,int4,5.5,2
BL,67,int5,5.3,2
BL,67,int6,5.4,2
BL,67,int7,5.2,2
BL,67,int8,3.7,2
BL,67,int9,0.5,2
BL,67,int10,NA,2
BZ,68,hyp,4.3,2
BZ,68,ep,2.5,2
BZ,68,int1,2.3,2
BZ,68,int2,4,2
BZ,68,int3,2,2
BZ,68,int4,3,2
BZ,68,int5,3.7,2
BZ,68,int6,3.5,2
BZ,68,int7,2.6,2
BZ,68,int8,2,2
BZ,68,int9,0.6,2
BZ,68,int10,NA,2
ET,69,hyp,3,2
ET,69,ep,2.5,2
ET,69,int1,2.5,2
ET,69,int2,2.7,2
ET,69,int3,3.7,2
ET,69,int4,1.7,2
ET,69,int5,4.9,2
ET,69,int6,5.5,2
ET,69,int7,4.5,2
ET,69,int8,4.7,2
ET,69,int9,2.5,2
ET,69,int10,0.5,2
BL,70,hyp,3.2,2
BL,70,ep,2.5,2
BL,70,int1,3,2
BL,70,int2,5,2
BL,70,int3,7,2
BL,70,int4,8,2
BL,70,int5,8.2,2
BL,70,int6,5,2
BL,70,int7,3,2
BL,70,int8,1.2,2
BL,70,int9,1,2
BL,70,int10,NA,2
ET,72,hyp,4,2
ET,72,ep,2,2
ET,72,int1,2.4,2
ET,72,int2,2.5,2
ET,72,int3,3.4,2
ET,72,int4,3,2
ET,72,int5,3.5,2
ET,72,int6,4,2
ET,72,int7,3.1,2
ET,72,int8,0.5,2
ET,72,int9,NA,2
ET,72,int10,NA,2
BL,73,hyp,3,2
BL,73,ep,2,2
BL,73,int1,2.3,2
BL,73,int2,2.2,2
BL,73,int3,4.5,2
BL,73,int4,7.2,2
BL,73,int5,8.7,2
BL,73,int6,4.2,2
BL,73,int7,3,2
BL,73,int8,1.5,2
BL,73,int9,0.7,2
BL,73,int10,0.3,2
BZ,74,hyp,3,2
BZ,74,ep,2.2,2
BZ,74,int1,1.5,2
BZ,74,int2,1.8,2
BZ,74,int3,3,2
BZ,74,int4,3,2
BZ,74,int5,2.5,2
BZ,74,int6,3.4,2
BZ,74,int7,3.5,2
BZ,74,int8,2.7,2
BZ,74,int9,1.5,2
BZ,74,int10,0.3,2
ET,75,hyp,4,2
ET,75,ep,2.2,2
ET,75,int1,1.7,2
ET,75,int2,1.5,2
ET,75,int3,2.5,2
ET,75,int4,1.7,2
ET,75,int5,1.8,2
ET,75,int6,2.5,2
ET,75,int7,2.4,2
ET,75,int8,0.5,2
ET,75,int9,NA,2
ET,75,int10,NA,2
BL,76,hyp,4.1,2
BL,76,ep,2,2
BL,76,int1,1.7,2
BL,76,int2,2,2
BL,76,int3,2.5,2
BL,76,int4,2.4,2
BL,76,int5,2.5,2
BL,76,int6,3.3,2
BL,76,int7,4.6,2
BL,76,int8,5.5,2
BL,76,int9,5,2
BL,76,int10,2.3,2
BZ,77,hyp,2.2,2
BZ,77,ep,2.6,2
BZ,77,int1,2.3,2
BZ,77,int2,2,2
BZ,77,int3,4,2
BZ,77,int4,3.5,2
BZ,77,int5,3.8,2
BZ,77,int6,4.3,2
BZ,77,int7,4.3,2
BZ,77,int8,3.7,2
BZ,77,int9,2.4,2
BZ,77,int10,1.3,2
ET,78,hyp,4.5,2
ET,78,ep,2.4,2
ET,78,int1,2,2
ET,78,int2,2.6,2
ET,78,int3,3.4,2
ET,78,int4,2,2
ET,78,int5,4.7,2
ET,78,int6,7.3,2
ET,78,int7,7.5,2
ET,78,int8,6,2
ET,78,int9,2.7,2
ET,78,int10,0.5,2
BL,79,hyp,3,2
BL,79,ep,2.5,2
BL,79,int1,2.5,2
BL,79,int2,2,2
BL,79,int3,2.5,2
BL,79,int4,6.4,2
BL,79,int5,8,2
BL,79,int6,7.5,2
BL,79,int7,8,2
BL,79,int8,5.5,2
BL,79,int9,3.7,2
BL,79,int10,1.5,2
BZ,80,hyp,2,2
BZ,80,ep,2.5,2
BZ,80,int1,2.2,2
BZ,80,int2,2,2
BZ,80,int3,3.6,2
BZ,80,int4,1.8,2
BZ,80,int5,3.4,2
BZ,80,int6,5.8,2
BZ,80,int7,5.5,2
BZ,80,int8,7,2
BZ,80,int9,4.3,2
BZ,80,int10,1,2
ET,81,hyp,3,2
ET,81,ep,2.2,2
ET,81,int1,2,2
ET,81,int2,1.5,2
ET,81,int3,3,2
ET,81,int4,2,2
ET,81,int5,2,2
ET,81,int6,4.1,2
ET,81,int7,3.8,2
ET,81,int8,2.7,2
ET,81,int9,1.2,2
ET,81,int10,NA,2
BL,82,hyp,2.1,2
BL,82,ep,2.2,2
BL,82,int1,2,2
BL,82,int2,2,2
BL,82,int3,3.5,2
BL,82,int4,4.5,2
BL,82,int5,5.2,2
BL,82,int6,4.4,2
